cdid,item_name_kr,stat_code,time,data_value,unit
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2017Q3,-5789.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2017Q4,-4669.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2018Q1,-5853.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2018Q2,-5735.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2018Q3,-7386.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2018Q4,-6540.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2019Q1,-6990.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2019Q2,-6435.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2019Q3,-6640.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2019Q4,-6551.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2020Q1,-6231.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2020Q2,-8959.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2020Q3,-5103.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2020Q4,-8209.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2021Q1,-3648.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2021Q2,-4136.0,GBP million
